id,wmo,icao,iata,name,custom-name,elevation,pressure-sensor-height,latitude,longitude,priority,country-code,time-zone,state-region,runway-direction-1,runway-direction-2,minimum-sector-altitude,group,flags,icao-region,polygon,polyline,population,custom-id,GML-id,organisation,hide-coordinates,type,source,state,area-number
au.bom:YB.YCRA.ALA,,YCRA,,CARINDA,,,,-30.45825,147.7094167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,22
au.bom:YB.YCRY.ALA,,YCRY,,CROYDON,,,,-18.21756667,142.2529667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YCSV.ALA,,YCSV,,COLLINSVILLE,,,,-20.59620278,147.8599556,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,44
au.bom:YB.YCYR.ALA,,YCYR,,CHARNLEY RIVER,,,,-16.73333333,125.4391667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,69
au.bom:YB.YDAJ.ALA,,YDAJ,,DAJARRA,,,,-21.70457778,139.5402472,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,43
au.bom:YB.YDAY.ALA,,YDAY,,DALBY,,,,-27.15529167,151.2672917,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,40
au.bom:YB.YDBI.AD,,YDBI,,DIRRANBANDI,,,,-28.59166667,148.2166667,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YDBR.ALA,,YDBR,,DUNBAR,,,,-16.05,142.4,,,,,,,,,------------,YB,,,,,,,,ALA,---pa---,QLD,45
au.bom:YB.YDBY.AD,,YDBY,,DERBY,,,,-17.37009722,123.6606528,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,69
au.bom:YB.YDGN.ALA,,YDGN,,DOONGAN,,,,-15.38598056,126.3049778,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,69
au.bom:YB.YDLT.ALA,,YDLT,,DELTA DOWNS,,,,-16.99166667,141.3166667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YDLW.ALA,,YDLW,,DALY WATERS,,,,-16.26666667,133.3666667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YDMG.AD,,YDMG,,DOOMADGEE,,,,-17.93693611,138.8163694,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,45
au.bom:YB.YDMN.ALA,,YDMN,,DALY RIVER MISSION,,,,-13.75,130.6940167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YDMR.ALA,,YDMR,,DELAMERE STN,,,,-15.6245,131.6493333,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,80
au.bom:YB.YDOR.ALA,,YDOR,,DORUNDA STATION,,,,-16.55403611,141.8242694,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,45
au.bom:YB.YDPD.ALA,,YDPD,,DAVENPORT DOWNS,,,,-24.14553333,141.1121833,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YDRH.ALA,,YDRH,,DURHAM DOWNS,,,,-27.075,141.9,,,,,,,,,------------,YB,,,,,,,,ALA,---pa---,QLD,41
au.bom:YB.YDRI.ALA,,YDRI,,DURRIE,,,,-25.68466667,140.2233056,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YDYS.ALA,,YDYS,,DYSART,,,,-22.62220833,148.363825,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,44
au.bom:YB.YEGS.ALA,,YEGS,,ELGIN DOWNS,,,,-22,146.9166667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,44
au.bom:YB.YELD.AD,,YELD,,ELCHO ISLAND,,,,-12.01933889,135.57065,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,NT,80
au.bom:YB.YELL.ALA,,YELL,,ELLIOTT,,,,-17.52944444,133.5297222,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NT,84
au.bom:YB.YEMG.ALA,,YEMG,,EROMANGA,,,,-26.70461667,143.2620167,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YEML.AD,,YEML,,EMERALD,,,,-23.56777778,148.1792,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,QLD,41
au.bom:YB.YEUO.ALA,,YEUO,,EULO,,,,-28.16906667,145.0416333,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,QLD,41
au.bom:YB.YEVD.ALA,,YEVD,,EVANS HEAD,,,,-29.09328611,153.4203694,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,NSW,20
au.bom:YB.YFLO.ALA,,YFLO,,FLORA VALLEY,,,,-18.28333333,128.4166667,,,,,,,,,------------,YB,,,,,,,,ALA,---p----,WA,69
au.bom:YB.YFTZ.AD,,YFTZ,,FITZROY CROSSING,,,,-18.18200278,125.5586722,,,,,,,,,--------A---,YB,,,,,,,,AD,---p----,WA,69
