NAME,AREA,POINT,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,LAT5,LONG5
Mount Isa,QLD-N,Y,-20.66639,139.48944,,,,,,,,
Normanton,QLD-N,Y,-17.685,141.07025,,,,,,,,
Osborne Mine,QLD-N,Y,-22.08167,140.55666,,,,,,,,
Pirlangimpi Airport,QLD-N,Y,-11.4021,130.4217,,,,,,,,
Proserpine/Whitsunday Coast,QLD-N,Y,-20.495,148.55235,,,,,,,,
Richmond,QLD-N,Y,-20.70203,143.11481,,,,,,,,
Samuel Hill,QLD-N,Y,-22.75,150.63333,,,,,,,,
Saumarez Reef Seaplane Base,QLD-N,Y,-21.85729,153.64654,,,,,,,,
Scherger,QLD-N,Y,-12.62389,142.08722,,,,,,,,
The Monument,QLD-N,Y,-21.81108,139.92361,,,,,,,,
Townsend Island Seaplane Base,QLD-N,Y,-22.30475,150.4972,,,,,,,,
Townsville,QLD-N,Y,-19.25472,146.77222,,,,,,,,
Trepell,QLD-N,Y,-21.835,140.88833,,,,,,,,
Weipa,QLD-N,Y,-12.67857,141.92538,,,,,,,,
Williamson,QLD-N,Y,-22.47333,150.17833,,,,,,,,
Winton,QLD-N,Y,-22.36348,143.08561,,,,,,,,
Amberley,QLD-S,Y,-27.64066,152.71182,,,,,,,,
Archerfield,QLD-S,Y,-27.57034,153.00803,,,,,,,,
Ballera,QLD-S,Y,-27.40833,141.80833,,,,,,,,
Barcaldine,QLD-S,Y,-23.56514,145.30671,,,,,,,,
Birdsville,QLD-S,Y,-25.89889,139.35194,,,,,,,,
Blackall,QLD-S,Y,-24.42789,145.42855,,,,,,,,
Brisbane Airport,QLD-S,Y,-27.38889,153.11583,,,,,,,,
Bundaberg,QLD-S,Y,-24.89667,152.32306,,,,,,,,
Charleville,QLD-S,Y,-26.4125,146.25694,,,,,,,,
Chinchilla,QLD-S,Y,-26.7694,150.6167,,,,,,,,
Cunnamulla,QLD-S,Y,-28.03006,145.62212,,,,,,,,
Emerald,QLD-S,Y,-23.56763,148.1792,,,,,,,,
Gayndah,QLD-S,Y,-25.61522,151.62077,,,,,,,,
Gladstone Airport,QLD-S,Y,-23.86981,151.22274,,,,,,,,
Gold Coast (Coolangatta),QLD-S,Y,-28.16111,153.51528,,,,,,,,
Goondiwindi,QLD-S,Y,-28.52128,150.32019,,,,,,,,
Heron Island,QLD-S,Y,-23.4422,151.9131,,,,,,,,
Hervey Bay,QLD-S,Y,-25.31881,152.8803,,,,,,,,
Kingaroy,QLD-S,Y,-26.58081,151.84101,,,,,,,,
Longreach,QLD-S,Y,-23.44583,144.28278,,,,,,,,
Maroochydore/Sunshine Coast,QLD-S,Y,-26.60342,153.09104,,,,,,,,
Maryborough (QLD),QLD-S,Y,-25.52083,152.70833,,,,,,,,
Oakey,QLD-S,Y,-27.41639,151.73556,,,,,,,,
Quilpie,QLD-S,Y,-26.61667,144.25611,,,,,,,,
Rockhampton,QLD-S,Y,-23.37861,150.47639,,,,,,,,
Roma,QLD-S,Y,-26.54512,148.77486,,,,,,,,
St George,QLD-S,Y,-28.04976,148.5953,,,,,,,,
Thangool,QLD-S,Y,-24.49377,150.57624,,,,,,,,
Thargomindah,QLD-S,Y,-27.98635,143.8109,,,,,,,,
Toowoomba,QLD-S,Y,-27.55556,151.92083,,,,,,,,
Wellcamp,QLD-S,Y,-27.5586,151.7942,,,,,,,,
Windorah,QLD-S,Y,-25.41294,142.66731,,,,,,,,
Adelaide Airport,SA,Y,-34.94944,138.52556,,,,,,,,
Arkaroola,SA,Y,-30.41,139.35,,,,,,,,
Blanchetown,SA,Y,-34.35,139.61,,,,,,,,
Ceduna,SA,Y,-32.1306,133.70975,,,,,,,,
Clare Valley,SA,Y,-33.71,138.58,,,,,,,,
Cleve,SA,Y,-33.70983,136.50475,,,,,,,,
Coober Pedy,SA,Y,-29.04,134.72086,,,,,,,,
Cowell,SA,Y,-33.67,136.89,,,,,,,,
Edinburgh,SA,Y,-34.71206,138.62361,,,,,,,,
Ernabella (Pukatja),SA,Y,-26.26258,132.18176,,,,,,,,
Kadina,SA,Y,-33.9703,137.6628,,,,,,,,
Kingscote,SA,Y,-35.70694,137.52083,,,,,,,,
Kingston,SA,Y,-36.82,139.85,,,,,,,,
Leigh Creek,SA,Y,-30.59583,138.44167,,,,,,,,
Marree,SA,Y,-29.6587,138.0684,,,,,,,,
Minlaton,SA,Y,-34.71167,137.525,,,,,,,,
Moomba,SA,Y,-28.09954,140.19705,,,,,,,,
Mount Gambier,SA,Y,-37.74544,140.78528,,,,,,,,
Mt Crawford,SA,Y,-34.73,138.93,,,,,,,,
Mt Lofty,SA,Y,-34.98,138.71,,,,,,,,
Murray Bridge,SA,Y,-35.06667,139.22667,,,,,,,,
Naracoorte,SA,Y,-36.98522,140.72496,,,,,,,,
Nuriootpa,SA,Y,-34.47,138.99,,,,,,,,
Olympic Dam,SA,Y,-30.485,136.87667,,,,,,,,
Oodnadatta,SA,Y,-27.56139,135.44611,,,,,,,,
Parafield,SA,Y,-34.79028,138.6375,,,,,,,,
Port Augusta,SA,Y,-32.50692,137.7168,,,,,,,,
Port Lincoln,SA,Y,-34.60539,135.88028,,,,,,,,
Renmark,SA,Y,-34.19641,140.674,,,,,,,,
Robe,SA,Y,-37.1776,139.8054,,,,,,,,
Salt Creek,SA,Y,-36.14,139.64,,,,,,,,
Streaky Bay,SA,Y,-32.75,134.2,,,,,,,,
Tarcoola,SA,Y,-30.70667,134.57667,,,,,,,,
Waikerie,SA,Y,-34.18,140.03,,,,,,,,
Whyalla,SA,Y,-33.0525,137.52222,,,,,,,,
William Creek,SA,Y,-28.91,136.32,,,,,,,,
Wilpena HS,SA,Y,-31.52,138.63,,,,,,,,
Woomera,SA,Y,-31.14806,136.81389,,,,,,,,
Wudinna,SA,Y,-33.04324,135.44721,,,,,,,,
Yunta,SA,Y,-32.5707,139.5645,,,,,,,,
Umuwa,SA,Y,-26.487,132.04,,,,,,,,
Bathurst Harbour,TAS,Y,-43.42,146.16,,,,,,,,
Ben Lomond (Legges Tor),TAS,Y,-41.53,147.66,,,,,,,,
Bridport,TAS,Y,-41,147.4,,,,,,,,
Cradle Mountain Lodge,TAS,Y,-41.57,145.93,,,,,,,,
Devonport,TAS,Y,-41.17444,146.42528,,,,,,,,
Federation Peak,TAS,Y,-43.27,146.45,,,,,,,,
Flinders Island,TAS,Y,-40.09129,147.99267,,,,,,,,
Mt Picton,TAS,Y,-43.15,146.58,,,,,,,,
George Town ,TAS,Y,-41.08,146.82,,,,,,,,
Hartz Mountain,TAS,Y,-43.08,146.77,,,,,,,,
Hobart Airport,TAS,Y,-42.83722,147.5,,,,,,,,
King Island,TAS,Y,-39.88583,143.88194,,,,,,,,
Launceston,TAS,Y,-41.54944,147.20694,,,,,,,,
Mount Lloyd ,TAS,Y,-42.831,146.9465,,,,,,,,
Mount Read,TAS,Y,-41.65,145.54,,,,,,,,
Mount Wellington (TAS),TAS,Y,-42.9,147.23,,,,,,,,
Mt Frederick,TAS,Y,-43.05,146.66,,,,,,,,
Nubeena,TAS,Y,-43.1,147.74,,,,,,,,
Queenstown,TAS,Y,-42.08,145.57,,,,,,,,
Scottsdale,TAS,Y,-41.17,147.52,,,,,,,,
Smithton,TAS,Y,-40.83502,145.08374,,,,,,,,
St Helens,TAS,Y,-41.3368,148.28185,,,,,,,,
Stanley ,TAS,Y,-40.77,145.3,,,,,,,,
Strahan,TAS,Y,-42.15563,145.29129,,,,,,,,
Tarraleah,TAS,Y,-42.27,146.27,,,,,,,,
Tasman Island,TAS,Y,-43.2397,148.0025,,,,,,,,
Wynyard (Burnie),TAS,Y,-40.99879,145.73122,,,,,,,,
Rosebery,TAS,Y,-41.78,145.55,,,,,,,,
Ararat,VIC,Y,-37.31,142.99,,,,,,,,
Avalon,VIC,Y,-38.0394,144.46948,,,,,,,,
Bacchus Marsh,VIC,Y,-37.73,144.42,,,,,,,,
Bairnsdale,VIC,Y,-37.88751,147.56764,,,,,,,,
Ballarat,VIC,Y,-37.51159,143.79123,,,,,,,,
Barwon Heads,VIC,Y,-38.26,144.5,,,,,,,,
Bendigo Airport,VIC,Y,-36.73941,144.32985,,,,,,,,
Castlemaine,VIC,Y,-37.13,144.22,,,,,,,,
Charlton,VIC,Y,-36.2847,143.3342,,,,,,,,
Coldstream,VIC,Y,-37.7258,145.4072,,,,,,,,
Deniliquin,VIC,Y,-35.55933,144.94641,,,,,,,,
Echuca,VIC,Y,-36.13,144.76,,,,,,,,
Edenhope,VIC,Y,-37.0222,141.2656,,,,,,,,
Essendon Airport,VIC,Y,-37.72722,144.89861,,,,,,,,
Falls Creek AWS,VIC,Y,-36.87,147.28,,,,,,,,
Fish Creek,VIC,Y,-38.72,146.05,,,,,,,,
Hamilton,VIC,Y,-37.64876,142.06524,,,,,,,,
Healesville,VIC,Y,-37.68,145.52,,,,,,,,
Heyfield (Rainbow Ck),VIC,Y,-38.02,146.68,,,,,,,,
Hopetoun,VIC,Y,-35.715,142.3569,,,,,,,,
Horsham,VIC,Y,-36.66969,142.17268,,,,,,,,
Inverleigh,VIC,Y,-38.15,143.99,,,,,,,,
Kilmore Gap,VIC,Y,-37.3,144.98333,,,,,,,,
Kyneton,VIC,Y,-37.25,144.43,,,,,,,,
Latrobe Valley,VIC,Y,-38.20723,146.47031,,,,,,,,
Laverton (VIC),VIC,Y,-37.8565,144.7566,,,,,,,,
Leongatha,VIC,Y,-38.5,145.86,,,,,,,,
Lethbridge Airport,VIC,Y,-37.92,144.1,,,,,,,,
Mallacoota,VIC,Y,-37.59875,149.72075,,,,,,,,
Mangalore,VIC,Y,-36.89861,145.18472,,,,,,,,
Maryborough (VIC),VIC,Y,-37.05,143.71,,,,,,,,
Melbourne Airport,VIC,Y,-37.66833,144.83194,,,,,,,,
Melton,VIC,Y,-37.62,144.57,,,,,,,,
Mildura,VIC,Y,-34.22926,142.08556,,,,,,,,
Moorabbin,VIC,Y,-37.97861,145.09583,,,,,,,,
Mount Buller,VIC,Y,-37.1467,146.4367,,,,,,,,
Mt Buller AWS,VIC,Y,-37.15,146.44,,,,,,,,
Mt Hotham Airport,VIC,Y,-37.03,147.33,,,,,,,,
Nathalia,VIC,Y,-36.06,145.2,,,,,,,,
Nhill,VIC,Y,-36.30967,141.64091,,,,,,,,
Orbost Airport,VIC,Y,-37.79,148.61,,,,,,,,
Ouyen,VIC,Y,-35.12,142.32,,,,,,,,
Phillip Island,VIC,Y,-38.52294,145.32717,,,,,,,,
Point Cook,VIC,Y,-37.93226,144.75346,,,,,,,,
Portland,VIC,Y,-38.31809,141.47104,,,,,,,,
Shepparton,VIC,Y,-36.42881,145.39256,,,,,,,,
Stawell,VIC,Y,-37.0678,142.7411,,,,,,,,
Swan Hill,VIC,Y,-35.37571,143.53274,,,,,,,,
Tooradin,VIC,Y,-38.22,145.38,,,,,,,,
Tyaab,VIC,Y,-38.27,145.18,,,,,,,,
Wangaratta,VIC,Y,-36.41593,146.30686,,,,,,,,
Warburton (VIC),VIC,Y,-37.78,145.72,,,,,,,,
Warrnambool,VIC,Y,-38.29514,142.44674,,,,,,,,
West Sale,VIC,Y,-38.09166,146.96525,,,,,,,,
Wycheproof,VIC,Y,-36.06,143.24,,,,,,,,
Yarram Airport,VIC,Y,-38.56,146.67,,,,,,,,
Yarrawonga,VIC,Y,-36.0294,146.0306,,,,,,,,
Argyle,WA-N,Y,-16.63684,128.45134,,,,,,,,
Balgo Hill,WA-N,Y,-20.14827,127.97398,,,,,,,,
