NAME,GAF_AREA,TYPE,LAT,LONG
Bola,VAAC,Geographical feature,-5.141,150.038
Garua Harbour,VAAC,Geographical feature,-5.3,150.07
Krummel-Garbuna-Welcker,VAAC,Geographical feature,-5.416,150.027
Lolo,VAAC,Geographical feature,-5.466,150.509
Witori,VAAC,Geographical feature,-5.576,150.516
Sulu Range,VAAC,Geographical feature,-5.5,150.942
Hargy,VAAC,Geographical feature,-5.33,151.1
Bamus,VAAC,Geographical feature,-5.2,151.23
Ulawun,VAAC,Geographical feature,-5.05,151.33
Lolobau,VAAC,Geographical feature,-4.92,151.158
Rabaul,VAAC,Geographical feature,-4.271,152.203
Tavui,VAAC,Geographical feature,-4.12,152.2
Narage,VAAC,Geographical feature,-4.55,149.125
Doma Peaks,VAAC,Geographical feature,-5.9,143.15
Crater Mountain,VAAC,Geographical feature,-6.58,145.08
Yelia,VAAC,Geographical feature,-7.05,145.858
Koranga,VAAC,Geographical feature,-7.33,146.708
Madilogo,VAAC,Geographical feature,-9.2,147.57
Lamington,VAAC,Geographical feature,-8.95,148.15
Hydrographers Range,VAAC,Geographical feature,-9,148.37
Musa River,VAAC,Geographical feature,-9.308,148.13
Managlase Plateau,VAAC,Geographical feature,-9.08,148.33
Victory,VAAC,Geographical feature,-9.2,149.07
Sessagara,VAAC,Geographical feature,-9.48,149.13
Waiowa,VAAC,Geographical feature,-9.57,149.075
Goodenough,VAAC,Geographical feature,-9.48,150.35
Iamalele,VAAC,Geographical feature,-9.52,150.53
Dawson Strait Group,VAAC,Geographical feature,-9.62,150.88
Lihir,VAAC,Geographical feature,-3.125,152.642
Ambitle,VAAC,Geographical feature,-4.08,153.65
Tanga,VAAC,Geographical feature,-3.5,153.22
Tore,VAAC,Geographical feature,-5.835,154.935
Balbi,VAAC,Geographical feature,-5.92,154.98
Billy Mitchell,VAAC,Geographical feature,-6.092,155.225
Bagana,VAAC,Geographical feature,-6.137,155.196
Takuan Group,VAAC,Geographical feature,-6.442,155.608
Loloru,VAAC,Geographical feature,-6.52,155.62
Simbo,VAAC,Geographical feature,-8.292,156.52
Kana Keoki,VAAC,Geographical feature,-8.75,157.03
Coleman Seamount,VAAC,Geographical feature,-8.841,157.16
Kavachi,VAAC,Geographical feature,-8.991,157.979
Gallego,VAAC,Geographical feature,-9.35,159.73
Savo,VAAC,Geographical feature,-9.13,159.82
Nonda,VAAC,Geographical feature,-7.67,156.6
Newer Volcanics Province,VAAC,Geographical feature,-37.77,142.5
Narcondum,VAAC,Geographical feature,13.43,94.28
Barren Island,VAAC,Geographical feature,12.278,93.858
Seulawah Agam,VAAC,Geographical feature,5.448,95.658
Peuet Sague,VAAC,Geographical feature,4.903,96.289
Burni Telong,VAAC,Geographical feature,4.769,96.821
Singkut,VAAC,Geographical feature,3.248,98.501
Sinabung,VAAC,Geographical feature,3.17,98.392
Toba,VAAC,Geographical feature,2.58,98.83
Imun,VAAC,Geographical feature,2.158,98.93
Sibualbuali,VAAC,Geographical feature,1.556,99.255
Lubukraya,VAAC,Geographical feature,1.478,99.209
Sorikmarapi,VAAC,Geographical feature,0.686,99.539
Malintang,VAAC,Geographical feature,0.47,99.67
Talakmau,VAAC,Geographical feature,0.079,99.98
Sarik-Gajah,VAAC,Geographical feature,0.074,100.189
Marapi,VAAC,Geographical feature,-0.38,100.474
Tandikat-Singgalang,VAAC,Geographical feature,-0.39,100.331
Talang,VAAC,Geographical feature,-0.979,100.681
Kerinci,VAAC,Geographical feature,-1.697,101.264
Kunyit,VAAC,Geographical feature,-2.274,101.483
Hutapanjang,VAAC,Geographical feature,-2.33,101.6
Sumbing,VAAC,Geographical feature,-2.414,101.728
Pendan,VAAC,Geographical feature,-2.82,102.02
Hululais,VAAC,Geographical feature,-3.247,102.239
Bukit Daun,VAAC,Geographical feature,-3.38,102.37
Kaba,VAAC,Geographical feature,-3.522,102.615
Dempo,VAAC,Geographical feature,-4.016,103.121
Patah,VAAC,Geographical feature,-4.257,103.306
Bukit Lumut Balai,VAAC,Geographical feature,-4.22,103.62
Besar,VAAC,Geographical feature,-4.43,103.67
Ranau,VAAC,Geographical feature,-4.871,103.925
Sekincau Belirang,VAAC,Geographical feature,-5.107,104.317
Suoh,VAAC,Geographical feature,-5.25,104.27
Hulubelu,VAAC,Geographical feature,-5.334,104.59
Rajabasa,VAAC,Geographical feature,-5.78,105.625
Pulau Weh,VAAC,Geographical feature,5.82,95.28
Geureudong,VAAC,Geographical feature,4.813,96.82
Kembar,VAAC,Geographical feature,3.85,97.664
Krakatau,VAAC,Geographical feature,-6.102,105.423
Pulosari,VAAC,Geographical feature,-6.343,105.978
Karang,VAAC,Geographical feature,-6.268,106.05
Perbakti-Gagak,VAAC,Geographical feature,-6.75,106.7
Salak,VAAC,Geographical feature,-6.72,106.73
Gede-Pangrango,VAAC,Geographical feature,-6.77,106.965
Patuha,VAAC,Geographical feature,-7.162,107.4
Wayang-Windu,VAAC,Geographical feature,-7.208,107.63
Malabar,VAAC,Geographical feature,-7.13,107.65
Tangkuban Parahu,VAAC,Geographical feature,-6.77,107.6
Papandayan,VAAC,Geographical feature,-7.32,107.73
Kendang,VAAC,Geographical feature,-7.245,107.709
Guntur,VAAC,Geographical feature,-7.143,107.84
Tampomas,VAAC,Geographical feature,-6.77,107.95
Galunggung,VAAC,Geographical feature,-7.25,108.058
Talagabodas,VAAC,Geographical feature,-7.208,108.07
Kawah Karaha,VAAC,Geographical feature,-7.12,108.08
Cereme,VAAC,Geographical feature,-6.895,108.408
Slamet,VAAC,Geographical feature,-7.242,109.208
Dieng Volcanic Complex,VAAC,Geographical feature,-7.2,109.879
Sundoro,VAAC,Geographical feature,-7.3,109.992
Sumbing,VAAC,Geographical feature,-7.384,110.07
Ungaran,VAAC,Geographical feature,-7.18,110.33
Telomoyo,VAAC,Geographical feature,-7.362,110.4
Merbabu,VAAC,Geographical feature,-7.454,110.44
Merapi,VAAC,Geographical feature,-7.54,110.446
Muria,VAAC,Geographical feature,-6.62,110.88
Lawu,VAAC,Geographical feature,-7.625,111.192
Wilis,VAAC,Geographical feature,-7.808,111.758
Kelut,VAAC,Geographical feature,-7.93,112.308
Kawi-Butak,VAAC,Geographical feature,-7.92,112.45
Arjuno-Welirang,VAAC,Geographical feature,-7.733,112.575
Penanggungan,VAAC,Geographical feature,-7.616,112.62
Malang Plain,VAAC,Geographical feature,-8.02,112.68
Semeru,VAAC,Geographical feature,-8.108,112.922
Tengger Caldera,VAAC,Geographical feature,-7.942,112.95
Lamongan,VAAC,Geographical feature,-7.981,113.341
Lurus,VAAC,Geographical feature,-7.73,113.58
Iyang-Argapura,VAAC,Geographical feature,-7.97,113.57
Raung,VAAC,Geographical feature,-8.119,114.056
Ijen,VAAC,Geographical feature,-8.058,114.242
Baluran,VAAC,Geographical feature,-7.85,114.37
Kawah Kamojang,VAAC,Geographical feature,-7.125,107.8
Buyan-Bratan,VAAC,Geographical feature,-8.283,115.133
Batur,VAAC,Geographical feature,-8.242,115.375
Agung,VAAC,Geographical feature,-8.343,115.508
Rinjani,VAAC,Geographical feature,-8.42,116.47
Tambora,VAAC,Geographical feature,-8.25,118
Sangeang Api,VAAC,Geographical feature,-8.2,119.07
Wai Sano,VAAC,Geographical feature,-8.724,119.986
Poco Leok,VAAC,Geographical feature,-8.68,120.48
Ranakah,VAAC,Geographical feature,-8.62,120.52
Inierie,VAAC,Geographical feature,-8.875,120.95
Inielika,VAAC,Geographical feature,-8.73,120.98
Ebulobo,VAAC,Geographical feature,-8.817,121.191
Iya,VAAC,Geographical feature,-8.891,121.641
Sukaria Caldera,VAAC,Geographical feature,-8.792,121.77
Ndete Napu,VAAC,Geographical feature,-8.72,121.78
Kelimutu,VAAC,Geographical feature,-8.77,121.82
Paluweh,VAAC,Geographical feature,-8.32,121.708
Egon,VAAC,Geographical feature,-8.676,122.455
Ilimuda,VAAC,Geographical feature,-8.479,122.761
Lewotobi,VAAC,Geographical feature,-8.542,122.775
Leroboleng,VAAC,Geographical feature,-8.365,122.833
Iliboleng,VAAC,Geographical feature,-8.342,123.258
Lewotolok,VAAC,Geographical feature,-8.272,123.505
Ililabalekan,VAAC,Geographical feature,-8.55,123.38
Iliwerung,VAAC,Geographical feature,-8.53,123.57
Batu Tara,VAAC,Geographical feature,-7.791,123.585
Sirung,VAAC,Geographical feature,-8.508,124.13
Yersey,VAAC,Geographical feature,-7.53,123.95
Ilikedeka,VAAC,Geographical feature,-8.301,122.907
Emperor of China,VAAC,Geographical feature,-6.62,124.22
Nieuwerkerk,VAAC,Geographical feature,-6.6,124.675
Gunungapi Wetar,VAAC,Geographical feature,-6.642,126.65
Wurlali,VAAC,Geographical feature,-7.125,128.675
Teon,VAAC,Geographical feature,-6.976,129.144
